CLASSIC50_MAP_V1
# level type id x y
1 2 1 0 -5
1 0 6 -5 4
1 0 6 -4 4
1 0 6 -3 4
1 0 6 -2 4
1 0 6 -1 4
1 0 6 0 4
1 0 6 1 4
1 0 6 2 4
1 0 6 3 4
1 0 6 4 4
1 0 6 -5 1
1 0 6 -3 1
1 0 6 -2 1
1 0 6 -2 -2
1 0 6 -3 -2
1 0 6 -5 -2
1 0 6 -2 -3
1 0 6 -1 -3
1 0 6 5 -3
1 0 6 1 -3
1 0 6 2 -3
1 0 6 3 -3
1 0 6 2 -4
1 0 6 2 -5
1 0 6 -2 -4
1 0 6 -2 -5
1 0 6 -2 2
1 0 6 -2 -1
1 0 6 -2 0
1 0 6 0 2
1 0 6 0 3
1 0 6 0 1
1 0 6 4 2
1 0 6 4 -1
1 0 6 4 3
1 0 6 4 1
1 0 6 4 0
1 0 6 0 -1
1 0 6 1 -1
1 0 6 2 -1
1 0 6 3 -1
1 0 6 2 1
1 0 6 1 1
1 0 1 3 1
1 0 1 -2 3
1 0 1 -4 1
1 0 1 -4 -2
1 0 1 0 -3
1 0 1 4 -3
1 0 1 0 0
1 0 7 -5 5
1 1 9 -4 -5
1 1 1 2 3
1 1 1 -1 -4
1 1 1 -3 -5
1 1 1 -3 -4
1 1 1 -5 0
1 1 8 1 2
1 1 7 1 3
1 1 6 4 -5
1 1 5 2 2
1 1 5 -5 3
1 1 5 -5 -4
1 1 5 -5 -5
1 3 4 2 0
1 3 6 -4 -1
1 3 5 -4 2
1 3 2 -2 5
1 3 1 3 -5
1 3 3 1 0
1 3 1 5 -5
1 3 1 -1 5
1 3 1 -3 5
1 3 3 3 0
1 3 3 4 -4
2 2 1 -5 4
2 0 7 -5 -5
2 0 8 -5 5
2 0 2 -3 5
2 1 6 -3 -4
2 1 1 -3 2
2 3 21 0 4
2 0 6 -1 0
2 0 6 -1 2
2 0 6 -2 0
2 0 6 -3 0
2 0 6 -4 0
2 0 6 -1 -1
2 0 6 -1 -3
2 0 6 -2 -3
2 0 6 -4 -3
2 0 6 -3 -3
2 0 6 -1 -4
2 0 6 -4 -1
2 0 6 -4 -2
2 0 6 -2 3
2 0 6 -4 3
2 0 6 -3 3
2 0 6 -4 2
2 0 6 -4 1
2 0 6 0 3
2 0 6 -1 3
2 0 6 -4 -4
2 0 6 -3 4
2 0 6 -2 4
2 0 6 2 3
2 0 6 3 3
2 0 6 4 3
2 0 6 5 3
2 0 6 4 4
2 0 6 5 4
2 0 6 -4 -5
2 0 6 3 2
2 0 6 5 0
2 0 6 4 0
2 0 6 3 0
2 0 6 3 -1
2 0 6 3 -3
2 0 6 4 -3
2 0 6 5 -3
2 0 11 3 1
2 0 6 3 -4
2 3 21 2 4
2 0 11 3 -5
2 1 1 -2 2
2 0 11 -1 1
2 1 1 -3 1
2 1 6 -3 -5
2 1 6 -2 -4
2 2 13 -3 -1
2 0 11 -1 -2
2 0 11 3 -2
2 0 11 -1 -5
2 2 32 5 2
2 2 33 5 -1
3 0 6 1 0
3 2 1 -4 -5
3 3 2 2 -4
3 3 1 1 1
3 3 4 4 -2
3 3 5 -5 -1
3 3 3 -3 1
3 1 1 -5 5
3 1 6 0 4
3 1 8 -4 5
3 1 7 -4 -3
3 1 5 -4 4
3 0 7 5 -5
3 0 8 -5 -5
3 0 1 -5 2
3 0 6 0 -1
3 0 6 1 -1
3 0 6 1 -2
3 0 6 1 -3
3 0 6 0 -4
3 0 6 1 -4
3 0 6 1 -5
3 0 6 -2 -4
3 0 6 -3 -4
3 0 6 -5 -4
3 0 6 -4 -4
3 0 6 -3 -3
3 0 6 -3 -2
3 0 6 -3 -1
3 0 6 -2 -1
3 0 6 -3 0
3 0 6 -4 0
3 0 6 1 2
3 0 6 0 2
3 0 6 -2 2
3 0 6 -3 2
3 0 6 -3 3
3 0 6 -4 2
3 0 6 -3 4
3 0 6 -3 5
3 0 6 1 5
3 0 6 1 4
3 0 6 1 3
3 0 6 5 3
3 0 6 3 2
3 0 6 3 3
3 0 6 4 3
3 0 6 3 5
3 0 6 5 0
3 0 6 4 0
3 0 6 3 -1
3 0 6 3 0
